Rank,Major_code,Major,Total,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,Histogram_column,midpoint
1,2419,Chief Executives,260813.6701,2057,282,Management,Job can be conducted virtually,163600,Office,0.120564344,36,1976,1849,270,1207,37,0.018380527,95000,125000,1534,364,193,"(124.0, 20124.0]",1,"(108500, 111000]",1,109750
2,2416,General and Operations Managers,2380133.124,679,77,Management,Job can be conducted virtually,100500,Office,0.101851852,7,640,556,170,388,85,0.117241379,55000,90000,350,257,50,"(124.0, 20124.0]",1,"(73500, 76000]",1,74750
3,2415,Legislators,58777.67061,725,131,Management,Job can be made virtual with institutional investments and planning,24600,Institutional,0.153037383,3,648,558,133,340,16,0.024096386,50000,105000,456,176,0,"(124.0, 20124.0]",1,"(71000, 73500]",1,72250
4,2417,Advertising and Promotions Managers,28503.87186,1123,135,Management,Job can be conducted virtually,109100,Office,0.107313196,16,758,1069,150,692,40,0.050125313,43000,80000,529,102,0,"(124.0, 20124.0]",1,"(68500, 71000]",1,69750
5,2405,Marketing Managers,260375.9933,21239,11021,Management,Job can be conducted virtually,129300,Office,0.341630502,289,25694,23170,5180,16697,1672,0.061097712,50000,75000,18314,4440,972,"(20124.0, 40124.0]",1,"(63500, 66000]",1,64750
6,2418,Sales Managers,394384.0853,2200,373,Management,Job can be conducted virtually,122200,Office,0.144966965,17,1857,2038,264,1449,400,0.177226407,50000,102000,1142,657,244,"(124.0, 20124.0]",1,"(63500, 66000]",2,64750
7,6202,Public Relations and Fundraising Managers,76903.99439,2110,1667,Management,Job can be conducted virtually,114800,Office,0.441355573,51,2912,2924,296,2482,308,0.095652174,53000,72000,1768,314,259,"(124.0, 20124.0]",1,"(61000, 63500]",1,62250
8,5001,Administrative Services Managers,294644.4178,832,960,Management,Job can be conducted virtually,95900,Office,0.535714286,10,1526,1085,553,827,33,0.021167415,31500,109000,972,500,220,"(124.0, 20124.0]",1,"(61000, 63500]",2,62250
9,2414,Computer and Information Systems Managers,408447.5687,80320,10907,Management,Job can be conducted virtually,141400,Office,0.119558903,1029,76442,71298,13101,54639,4650,0.057342278,48000,70000,52844,16384,3253,"(80124.0, 100124.0]",1,"(58500, 61000]",1,59750
10,2408,Financial Managers,645125.3231,65511,16016,Management,Job can be conducted virtually,126300,Office,0.196450256,631,61928,55450,12695,41413,3895,0.059173845,45000,72000,45829,10874,3170,"(80124.0, 100124.0]",1,"(58500, 61000]",2,59750
11,2407,Industrial Production Managers,185498.3198,33258,8284,Management,"Cannot work remotely, essential",101900,Office,0.199412643,399,32506,30315,5146,23621,2275,0.065409275,45000,75000,23694,5721,980,"(40124.0, 60124.0]",1,"(58500, 61000]",3,59750
12,2401,Purchasing Managers,73675.55884,12953,2105,Management,Job can be conducted virtually,118100,Office,0.139792801,147,11391,11106,2724,8790,794,0.065162085,42000,70000,8184,2425,372,"(124.0, 20124.0]",1,"(58500, 61000]",4,59750
13,2404,"Transportation, Storage, and Distribution Managers",134334.0822,8407,6548,Management,Job can be conducted virtually,93600,Office,0.437846874,79,10047,9017,2694,5986,1019,0.09208386,36000,70000,6439,2471,789,"(124.0, 20124.0]",1,"(58500, 61000]",5,59750
14,5008,Compensation and Benefits Managers,14999.87128,2949,1330,Management,Job can be conducted virtually,121000,Office,0.310820285,22,3307,2751,878,1967,78,0.023042836,39000,65000,2626,391,81,"(124.0, 20124.0]",1,"(58500, 61000]",6,59750
15,2409,Human Resources Managers,173525.3381,3526,795,Management,Job can be conducted virtually,109800,Office,0.183985189,30,3608,2999,811,2004,23,0.006334343,25000,74000,2439,947,263,"(124.0, 20124.0]",1,"(56000, 58500]",1,57250
16,2402,Training and Development Managers,47341.66109,6062,2863,Management,Job can be conducted virtually,111300,Office,0.320784314,55,6170,5455,1983,3413,589,0.087143069,40000,76000,3603,1595,524,"(124.0, 20124.0]",1,"(56000, 58500]",2,57250
17,2412,"Farmers, Ranchers, and Other Agricultural Managers",531958.2282,12453,6515,Management,"Cannot work remotely, essential",41100,Other/Mixed,0.343473218,183,15604,14879,2243,11326,699,0.042875544,37900,67000,8306,3235,640,"(124.0, 20124.0]",1,"(56000, 58500]",3,57250
18,2400,Construction Managers,434061.5601,45683,15469,Management,"Cannot work remotely, essential",75800,Industrial,0.252959838,425,44931,41235,7199,33540,2859,0.059824231,36000,69000,26898,11734,3192,"(60124.0, 80124.0]",1,"(53500, 56000]",1,54750
19,2403,"Education Administrators, Preschool and Childcare Center/Program",69086.09812,1835,990,Management,Job can be made virtual with institutional investments and planning,45100,Institutional,0.350442478,26,2575,2277,343,1848,170,0.061930783,38000,65000,1665,649,137,"(124.0, 20124.0]",1,"(53500, 56000]",2,54750
20,3201,"Education Administrators, Elementary and Secondary School",266247.6267,877,271,Management,Job can be made virtual with institutional investments and planning,94800,Institutional,0.236062718,14,930,808,223,808,11,0.011689692,50000,54000,402,528,144,"(124.0, 20124.0]",1,"(53500, 56000]",3,54750
21,2102,"Education Administrators, Postsecondary",142338.6157,99743,28576,Management,Job can be made virtual with institutional investments and planning,93500,Institutional,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,39000,70000,68622,25667,5144,"(120124.0, 140124.0]",1,"(51000, 53500]",1,52250
22,1104,"Education Administrators, All Other",50846.08233,,,Management,Job can be made virtual with institutional investments and planning,77000,Institutional,,36,3149,2558,1121,1735,338,0.09693146,32000,70000,1183,1274,485,,1,"(51000, 53500]",2,52250
23,2502,Architectural and Engineering Managers,192713.5454,8181,3384,Management,Job can be conducted virtually,140600,Office,0.292607004,97,8587,7530,1873,5681,824,0.087557114,35000,60000,5126,2686,696,"(124.0, 20124.0]",1,"(51000, 53500]",3,52250
24,2413,Food Service Managers,297210.6789,2020,973,Management,"Cannot work remotely, essential",47100,Retail/Services,0.325091881,22,2449,1658,1040,1151,70,0.027788805,35000,62000,1911,305,70,"(124.0, 20124.0]",1,"(51000, 53500]",4,52250
25,6212,Funeral Service Managers,8812.744358,13496,5217,Management,"Cannot work remotely, essential",75200,Retail/Services,0.278790146,278,16413,15141,2420,13017,1015,0.058239614,38000,60000,6342,5741,708,"(124.0, 20124.0]",1,"(48500, 51000]",1,49750
26,2406,Gaming Managers,6620.652118,41081,12072,Management,"Cannot work remotely, non-essential",67100,Retail/Services,0.227117943,565,43041,38302,10080,29196,3270,0.070609574,40000,60000,28526,9356,2899,"(40124.0, 60124.0]",1,"(48500, 51000]",2,49750
27,5601,Lodging Managers,47456.09556,16820,1678,Management,"Cannot work remotely, non-essential",47800,Retail/Services,0.090712509,295,16318,15690,1751,12313,1042,0.060023041,36000,60000,3275,5351,703,"(124.0, 20124.0]",1,"(48500, 51000]",3,49750
28,6204,Medical and Health Services Managers,394470.2827,7921,3811,Management,Job can be made virtual with institutional investments and planning,97900,Institutional,0.32483805,156,10027,9639,1183,7724,504,0.047858703,40000,60000,1466,3629,285,"(124.0, 20124.0]",1,"(48500, 51000]",4,49750
29,2499,Natural Sciences Managers,63407.09749,7398,1735,Management,Job can be conducted virtually,123900,Office,0.189970437,118,7428,6811,1662,5476,597,0.074392523,39000,65000,3445,2426,365,"(124.0, 20124.0]",1,"(48500, 51000]",5,49750
30,5402,Postmasters and Mail Superintendents,12904.60757,2639,3339,Management,Job can be conducted virtually,76000,Institutional,0.558548009,55,4547,4163,1306,2776,670,0.128426299,35000,70000,1550,1871,340,"(124.0, 20124.0]",1,"(48500, 51000]",6,49750
31,2410,"Property, Real Estate, and Community Association Managers",296962.2874,2662,1385,Management,Job can be made virtual with institutional investments and planning,56100,Office,0.342228811,26,2983,2384,930,1951,308,0.093588575,42000,56000,2028,830,260,"(124.0, 20124.0]",1,"(48500, 51000]",7,49750
32,2500,Social and Community Service Managers,175658.8894,2695,905,Management,Job can be conducted virtually,64200,Office,0.251388889,39,2799,2257,689,1723,163,0.055030385,43000,60000,1017,1269,142,"(124.0, 20124.0]",1,"(48500, 51000]",8,49750
33,6099,Emergency Management Directors,13114.05181,1970,1370,Management,Job can be made virtual with institutional investments and planning,74400,Office,0.410179641,30,2914,2049,1067,1200,286,0.089375,25000,66000,693,1714,755,"(124.0, 20124.0]",1,"(48500, 51000]",9,49750
34,2411,"Managers, All Other",901021.5439,488,232,Management,Job can be conducted virtually,79200,Office,0.322222222,5,604,524,126,396,49,0.075038285,42800,57000,501,50,49,"(124.0, 20124.0]",1,"(48500, 51000]",10,49750
35,6107,"Agents and Business Managers of Artists, Performers, and Athletes",22831.72617,21773,187621,Business and Financial Operations,Job can be conducted virtually,57700,Office,0.896018988,2554,180903,151191,40818,122817,8497,0.044862724,39000,58000,151643,26146,6193,"(200124.0, 220124.0]",1,"(46000, 48500]",1,47250
36,6207,Buyers and Purchasing Agents,430102.0675,115030,59476,Business and Financial Operations,Job can be made virtual with institutional investments and planning,61700,Office,0.340824957,2189,145696,137921,21463,108595,9413,0.060686356,35000,64000,24243,48447,9910,"(160124.0, 180124.0]",1,"(46000, 48500]",2,47250
37,5501,"Claims Adjusters, Examiners, and Investigators",300041.5498,89749,49498,Business and Financial Operations,Job can be made virtual with institutional investments and planning,65600,Office,0.355469059,1322,104117,96567,25325,70740,11452,0.099092317,35000,65000,25582,37057,10653,"(120124.0, 140124.0]",1,"(46000, 48500]",3,47250
38,6205,"Insurance Appraisers, Auto Damage",16839.17772,7575,5727,Business and Financial Operations,Job can be made virtual with institutional investments and planning,62100,Office,0.430536761,199,10914,10048,1937,8000,1165,0.096448381,33000,58000,1578,4612,1284,"(124.0, 20124.0]",1,"(43500, 46000]",1,44750
39,2503,Compliance Officers,309713.0804,3477,1154,Business and Financial Operations,Job can be conducted virtually,68800,Office,0.24919024,73,4428,3988,597,3242,129,0.028308097,35000,65000,1394,2454,480,"(124.0, 20124.0]",1,"(43500, 46000]",2,44750
40,5102,Cost Estimators,221429.928,528,1588,Business and Financial Operations,Job can be conducted virtually,63700,Office,0.75047259,31,1778,1392,579,1115,137,0.07154047,38000,53000,162,1475,124,"(124.0, 20124.0]",1,"(43500, 46000]",3,44750
41,6201,Human Resources Specialists,652633.3589,94519,104114,Business and Financial Operations,Job can be conducted virtually,61000,Office,0.524152583,2042,165527,151967,27693,123169,12411,0.069749014,34000,56000,11417,39323,10886,"(180124.0, 200124.0]",1,"(43500, 46000]",4,44750
42,3700,Farm Labor Contractors,265.9876032,39956,32441,Business and Financial Operations,"Cannot work remotely, essential",46200,Other/Mixed,0.448098678,541,58118,46399,18079,33738,2884,0.047277138,33000,60000,34800,14829,4569,"(60124.0, 80124.0]",1,"(43500, 46000]",5,44750
43,2100,Labor Relations Specialists,78239.994,27392,9306,Business and Financial Operations,Job can be conducted virtually,67800,Office,0.253583302,425,28459,26348,4332,21130,2934,0.093460326,30000,60000,13344,11783,1672,"(20124.0, 40124.0]",1,"(43500, 46000]",6,44750
44,5007,Logisticians,256067.4902,23080,9062,Business and Financial Operations,Job can be conducted virtually,74000,Office,0.281936407,142,25302,19428,8721,14389,1282,0.048224496,30000,68000,18674,4576,1823,"(20124.0, 40124.0]",1,"(43500, 46000]",7,44750
45,6105,Management Analysts,882859.669,3916,11998,Business and Financial Operations,Job can be conducted virtually,84800,Office,0.75392736,190,13150,11510,2665,9005,505,0.03698279,36000,50000,5546,7176,1002,"(124.0, 20124.0]",1,"(43500, 46000]",8,44750
46,2105,"Meeting, Convention, and Event Planners",127653.4038,9005,2908,Business and Financial Operations,Job can be made virtual with institutional investments and planning,48900,Office,0.244103081,158,9881,9105,1468,7378,639,0.060741445,32500,58000,4390,4102,608,"(124.0, 20124.0]",1,"(43500, 46000]",9,44750
47,3702,Fundraisers,112770.8276,2960,3291,Business and Financial Operations,Job can be made virtual with institutional investments and planning,57000,Office,0.526475764,37,4247,3190,1840,2151,401,0.086273666,26700,60000,2298,1200,343,"(124.0, 20124.0]",1,"(43500, 46000]",10,44750
48,3701,"Compensation, Benefits, and Job Analysis Specialists",84572.93918,2794,2145,Business and Financial Operations,Job can be conducted virtually,63000,Office,0.434298441,45,3854,3465,1176,2593,385,0.090823307,34000,63000,2437,803,357,"(124.0, 20124.0]",1,"(43500, 46000]",11,44750
49,3607,Training and Development Specialists,303715.8344,515,1247,Business and Financial Operations,Job can be conducted virtually,61000,Office,0.707718502,3,1144,657,532,565,107,0.085531575,40000,45000,603,478,93,"(124.0, 20124.0]",1,"(43500, 46000]",12,44750
50,5006,Market Research Analysts and Marketing Specialists,680914.8826,752,1666,Business and Financial Operations,Job can be conducted virtually,62700,Office,0.688999173,36,1638,1931,379,1595,99,0.056994819,23000,50000,459,996,186,"(124.0, 20124.0]",1,"(43500, 46000]",13,44750
51,2501,"Business Operations Specialists, All Other",1109613.137,2400,506,Business and Financial Operations,Job can be conducted virtually,70400,Office,0.174122505,29,2125,1992,462,1358,74,0.03365166,30000,50000,482,844,245,"(124.0, 20124.0]",1,"(43500, 46000]",14,44750
52,6104,Accountants and Auditors,1424697.761,803,10320,Business and Financial Operations,Job can be conducted virtually,70500,Office,0.927807246,67,9168,5643,4107,4290,407,0.042506527,30000,65000,2091,6948,1270,"(124.0, 20124.0]",1,"(41000, 43500]",1,42250
53,4005,Appraisers and Assessors of Real Estate,80724.38629,500,109,Business and Financial Operations,Job can be made virtual with institutional investments and planning,53700,Office,0.178981938,7,559,584,0,391,0,0,30000,78000,452,67,25,"(124.0, 20124.0]",1,"(41000, 43500]",2,42250
54,2101,Budget Analysts,57091.60822,3046,1122,Business and Financial Operations,Job can be conducted virtually,76200,Office,0.269193858,43,3257,3204,482,2453,419,0.11398259,20000,46000,2024,1033,263,"(124.0, 20124.0]",1,"(41000, 43500]",3,42250
55,4006,Credit Analysts,75462.74706,1667,2164,Business and Financial Operations,Job can be conducted virtually,71500,Office,0.56486557,25,2741,2470,711,1584,223,0.075236167,20000,60000,1369,921,135,"(124.0, 20124.0]",1,"(38500, 41000]",1,39750
56,2303,Financial Analysts,322763.8802,119,699,Business and Financial Operations,Job can be conducted virtually,85700,Office,0.854523227,4,730,595,135,545,88,0.107579462,41000,43000,509,221,0,"(124.0, 20124.0]",1,"(38500, 41000]",2,39750
57,5505,Personal Financial Advisors,254104.0784,10345,17842,Business and Financial Operations,Job can be conducted virtually,91500,Office,0.632986838,219,21190,18681,5563,13583,2271,0.096798943,31200,53000,6774,9570,2499,"(20124.0, 40124.0]",1,"(38500, 41000]",3,39750
58,6200,Insurance Underwriters,106397.3774,132238,102352,Business and Financial Operations,Job can be conducted virtually,69300,Office,0.436301633,2380,190183,171385,36241,138299,14946,0.072861468,30000,55000,29334,100831,27320,"(220124.0, 240124.0]",1,"(38500, 41000]",4,39750
59,1401,Financial Examiners,61851.88229,25463,20957,Business and Financial Operations,Job can be conducted virtually,80200,Office,0.451464886,362,34158,29223,10206,20026,4366,0.113331949,31000,50000,16178,13724,4221,"(40124.0, 60124.0]",1,"(38500, 41000]",5,39750
60,6210,Credit Counselors,37344.63011,10624,15270,Business and Financial Operations,Job can be conducted virtually,45100,Office,0.589711902,260,19660,17563,4890,12823,2092,0.096175064,30000,50000,3383,9482,3046,"(20124.0, 40124.0]",1,"(38500, 41000]",6,39750
61,6108,Loan Officers,307699.0352,8697,14854,Business and Financial Operations,Job can be conducted virtually,63000,Office,0.630716318,38,16620,12537,5346,9131,977,0.055520827,20000,90000,11573,4493,1121,"(20124.0, 40124.0]",1,"(38500, 41000]",7,39750
62,3603,"Tax Examiners and Collectors, and Revenue Agents",56836.16299,7426,10874,Business and Financial Operations,Job can be conducted virtually,54400,Office,0.59420765,90,11581,9441,4590,6183,1067,0.084361164,29000,47000,7225,3145,1168,"(124.0, 20124.0]",1,"(38500, 41000]",8,39750
63,6299,Tax Preparers,97375.30421,10285,7662,Business and Financial Operations,Job can be conducted virtually,41800,Office,0.42692372,244,14826,13364,3366,10637,1150,0.071982974,30000,51000,2236,8937,1758,"(124.0, 20124.0]",1,"(38500, 41000]",9,39750
64,1101,"Financial Specialists, All Other",134899.1135,9658,4582,Business and Financial Operations,Job can be conducted virtually,69700,Office,0.321769663,273,12323,11119,2196,9093,649,0.050030836,25000,50000,1925,6221,1362,"(124.0, 20124.0]",1,"(38500, 41000]",10,39750
65,1100,Computer and Information Research Scientists,33086.73927,6053,4346,Computer and Mathematical,Job can be conducted virtually,118400,Office,0.4179248,158,8884,7589,2031,5888,178,0.019642463,30000,50000,2418,4717,839,"(124.0, 20124.0]",1,"(38500, 41000]",11,39750
66,2599,Computer Systems Analysts,617612.9171,7043,1761,Computer and Mathematical,Job can be conducted virtually,88400,Office,0.200022717,125,7502,7001,1240,5825,416,0.05253852,30400,56000,2446,3896,386,"(124.0, 20124.0]",1,"(38500, 41000]",12,39750
67,2504,Information Security Analysts,113263.9776,4419,371,Computer and Mathematical,Job can be conducted virtually,98300,Office,0.077453027,71,4186,4175,247,3607,250,0.056357078,27000,52000,1861,2121,406,"(124.0, 20124.0]",1,"(38500, 41000]",13,39750
68,3605,Computer Programmers,251008.3035,1761,1874,Computer and Mathematical,Job can be conducted virtually,82600,Office,0.515543329,11,2463,1787,847,1487,87,0.034117647,34000,45000,1675,678,201,"(124.0, 20124.0]",1,"(38500, 41000]",14,39750
69,5599,"Software Developers, Applications",945844.0704,1499,1784,Computer and Mathematical,Job can be conducted virtually,103100,Office,0.543405422,28,2727,2183,907,1530,215,0.073079538,30000,54000,744,1654,573,"(124.0, 20124.0]",1,"(38500, 41000]",15,39750
70,6403,"Software Developers, Systems Software",424521.3043,1756,1323,Computer and Mathematical,Job can be conducted virtually,109500,Office,0.429684963,22,2787,2103,839,1274,138,0.047179487,30000,42000,801,1591,302,"(124.0, 20124.0]",1,"(38500, 41000]",16,39750
71,5205,Web Developers,165317.2778,1075,1939,Computer and Mathematical,Job can be conducted virtually,62400,Office,0.643331121,24,2343,1644,1095,1409,286,0.108786611,32000,53000,559,1224,272,"(124.0, 20124.0]",1,"(38500, 41000]",17,39750
72,1102,Database Administrators,112720.5226,1749,690,Computer and Mathematical,Job can be made virtual with institutional investments and planning,89700,Office,0.282902829,44,2174,1819,620,1528,182,0.077249576,27000,54000,535,893,94,"(124.0, 20124.0]",1,"(38500, 41000]",18,39750
73,5000,Network and Computer Systems Administrators,376090.5897,894,542,Computer and Mathematical,Job can be made virtual with institutional investments and planning,81900,Office,0.377437326,10,1146,768,437,653,42,0.035353535,30000,55000,530,465,269,"(124.0, 20124.0]",1,"(38500, 41000]",19,39750
74,3801,Computer Network Architects,157055.517,124,0,Computer and Mathematical,Job can be conducted virtually,108500,Office,0,4,0,111,0,111,0,0,40000,40000,0,0,0,,1,"(38500, 41000]",20,39750
75,5003,Computer User Support Specialists,717614.979,32923,33607,Computer and Mathematical,Job can be conducted virtually,50900,Office,0.505140538,353,48535,39509,15066,29910,2769,0.0539724,30000,49900,30382,14718,4288,"(60124.0, 80124.0]",1,"(38500, 41000]",21,39750
76,5701,Computer Network Support Specialists,199312.6108,1869,566,Computer and Mathematical,Job can be conducted virtually,62700,Office,0.232443532,37,2107,2057,287,1752,64,0.029479503,22500,45000,221,1659,81,"(124.0, 20124.0]",1,"(36000, 38500]",1,37250
77,6203,"Computer Occupations, All Other",424209.1974,173809,156118,Computer and Mathematical,Job can be conducted virtually,88700,Office,0.473189524,4212,276234,251540,50357,199897,21502,0.072218341,29000,50000,36720,148395,32395,"(320124.0, 340124.0]",1,"(36000, 38500]",2,37250
78,6206,Actuaries,24839.10472,78857,126354,Computer and Mathematical,Job can be conducted virtually,102900,Office,0.615727227,2684,178862,156668,35829,127230,11663,0.061215064,30000,50000,25320,93889,27968,"(200124.0, 220124.0]",1,"(36000, 38500]",3,37250
79,5506,Mathematicians,3192.782059,93880,88741,Computer and Mathematical,Job can be conducted virtually,101700,Office,0.485929877,1387,133454,117709,43711,83236,15022,0.101174601,28000,50000,36854,66947,19803,"(180124.0, 200124.0]",1,"(36000, 38500]",4,37250
80,5504,Operations Research Analysts,107721.1254,11404,7076,Computer and Mathematical,Job can be conducted virtually,83300,Office,0.382900433,179,14057,11367,5651,8628,1799,0.113458628,30000,50000,5350,6830,1905,"(124.0, 20124.0]",1,"(36000, 38500]",5,37250
81,3606,Statisticians,44351.40547,6383,8849,Computer and Mathematical,Job can be conducted virtually,86900,Office,0.580948004,62,9685,7453,3379,5080,693,0.066775872,29600,50000,5577,3174,1246,"(124.0, 20124.0]",1,"(36000, 38500]",6,37250
82,2106,Miscellaneous Mathematical Science Occupations,2349.788467,6607,1459,Computer and Mathematical,Job can be made virtual with institutional investments and planning,57200,Office,0.180882718,103,6509,6289,1030,4936,721,0.099723375,25000,50000,2354,3244,308,"(124.0, 20124.0]",1,"(36000, 38500]",7,37250
83,3601,"Architects, Except Landscape and Naval",131433.2404,18951,20156,Architecture and Engineering,Job can be made virtual with institutional investments and planning,75800,Office,0.515406449,174,25678,20643,9948,13785,2249,0.080531385,29000,50000,15654,8394,3012,"(20124.0, 40124.0]",1,"(36000, 38500]",8,37250
84,3602,Landscape Architects,23736.61685,626,703,Architecture and Engineering,Job can be made virtual with institutional investments and planning,65400,Office,0.52896915,9,1010,946,169,740,0,0,26000,40000,677,184,56,"(124.0, 20124.0]",1,"(36000, 38500]",9,37250
85,2107,Cartographers and Photogrammetrists,13227.31332,5291,2322,Architecture and Engineering,Job can be made virtual with institutional investments and planning,64300,Office,0.305004597,97,6144,5495,1447,4369,1100,0.151849807,27000,49000,2593,2941,352,"(124.0, 20124.0]",1,"(36000, 38500]",10,37250
86,5004,Surveyors,47961.45337,5813,5159,Architecture and Engineering,"Cannot work remotely, non-essential",62100,Office,0.470196865,78,8296,6966,2913,5008,677,0.075448568,28000,47000,4858,2792,959,"(124.0, 20124.0]",1,"(36000, 38500]",11,37250
87,6209,Aerospace Engineers,70034.68865,6184,18313,Architecture and Engineering,Job can be made virtual with institutional investments and planning,115200,Other/Mixed,0.747560926,264,20760,18550,3767,15446,1315,0.059569649,28000,45000,2406,9629,1906,"(20124.0, 40124.0]",1,"(33500, 36000]",1,34750
88,3202,Agricultural Engineers,2001.015033,4435,9093,Architecture and Engineering,Job can be made virtual with institutional investments and planning,77100,Other/Mixed,0.672161443,92,9762,7851,3595,5370,757,0.071965016,29200,46000,2002,6454,1336,"(124.0, 20124.0]",1,"(33500, 36000]",2,34750
89,6199,Biomedical Engineers,20437.03309,1589,11797,Architecture and Engineering,Job can be made virtual with institutional investments and planning,88500,Lab,0.881293889,81,10076,7514,4145,5868,893,0.08141125,23000,42000,5652,3835,1422,"(124.0, 20124.0]",1,"(33500, 36000]",3,34750
90,5401,Chemical Engineers,33591.62598,2947,2682,Architecture and Engineering,Job can be made virtual with institutional investments and planning,104800,Lab,0.476461183,46,4158,4148,847,2952,789,0.1594906,23000,60000,919,2313,496,"(124.0, 20124.0]",1,"(33500, 36000]",4,34750
91,5005,Civil Engineers,326493.8573,809,1169,Architecture and Engineering,Job can be made virtual with institutional investments and planning,86900,Office,0.591001011,18,1441,1264,354,1011,36,0.024373731,21000,41000,784,591,221,"(124.0, 20124.0]",1,"(33500, 36000]",5,34750
92,5206,Computer Hardware Engineers,63996.2077,413,973,Architecture and Engineering,Job can be made virtual with institutional investments and planning,114200,Office,0.702020202,8,1080,828,433,529,33,0.029649596,34000,45000,434,593,37,"(124.0, 20124.0]",1,"(33500, 36000]",6,34750
93,1301,Electrical Engineers,191674.7604,10787,15178,Architecture and Engineering,Job can be made virtual with institutional investments and planning,96500,Industrial,0.584556133,225,20859,16987,7071,10916,1779,0.078584681,25000,40200,8149,10076,3175,"(20124.0, 40124.0]",1,"(33500, 36000]",7,34750
94,1901,"Electronics Engineers, Except Computer",139968.593,70619,143377,Architecture and Engineering,Job can be made virtual with institutional investments and planning,102600,Industrial,0.669998505,2394,179633,147335,49889,116251,14602,0.075176976,27000,45000,40763,97964,27440,"(200124.0, 220124.0]",1,"(33500, 36000]",8,34750
95,5301,Environmental Engineers,54629.25731,80231,72593,Architecture and Engineering,Job can be made virtual with institutional investments and planning,87600,Lab,0.47501047,1728,125393,109970,32242,88548,11268,0.082452199,26000,45000,24348,88858,18404,"(140124.0, 160124.0]",1,"(33500, 36000]",9,34750
96,6004,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",26155.73151,32041,71439,Architecture and Engineering,Job can be made virtual with institutional investments and planning,89200,Industrial,0.690365288,1186,83483,67448,24387,52243,8947,0.096797577,25000,45000,37389,38119,14839,"(100124.0, 120124.0]",1,"(33500, 36000]",10,34750
97,1902,Industrial Engineers,283083.3751,23736,48883,Architecture and Engineering,Job can be made virtual with institutional investments and planning,87100,Industrial,0.673143392,843,61022,51411,15902,39524,4535,0.069176442,26000,42900,23279,26672,8512,"(60124.0, 80124.0]",1,"(33500, 36000]",11,34750
98,5098,Marine Engineers and Naval Architects,14234.89371,27015,35037,Architecture and Engineering,Job can be made virtual with institutional investments and planning,92600,Industrial,0.564639335,427,46138,37850,13133,28966,2727,0.055806815,24000,50000,17923,22039,5751,"(60124.0, 80124.0]",1,"(33500, 36000]",12,34750
99,1904,Materials Engineers,27920.49398,12862,40300,Architecture and Engineering,Job can be made virtual with institutional investments and planning,92400,Lab,0.758060269,681,45326,38815,10948,30932,3305,0.067960766,27000,47000,9659,23059,7214,"(40124.0, 60124.0]",1,"(33500, 36000]",13,34750
100,1501,Mechanical Engineers,310949.611,8739,22456,Architecture and Engineering,Job can be made virtual with institutional investments and planning,87400,Industrial,0.719858952,249,24629,18755,9541,13109,1668,0.063429289,24500,44000,8465,11818,3677,"(20124.0, 40124.0]",1,"(33500, 36000]",14,34750
101,2310,"Mining and Geological Engineers, Including Mining Safety Engineers",6455.033299,2682,26057,Architecture and Engineering,Job can be made virtual with institutional investments and planning,92200,Industrial,0.906677337,246,24639,21584,5153,16642,1067,0.041507819,32000,42000,20185,3797,1179,"(20124.0, 40124.0]",1,"(33500, 36000]",15,34750
102,3608,Nuclear Engineers,20170.23765,8422,13638,Architecture and Engineering,Job can be made virtual with institutional investments and planning,108300,Lab,0.618223028,99,14643,10732,6541,7588,1088,0.0691628,20000,50000,6587,6894,2237,"(20124.0, 40124.0]",1,"(33500, 36000]",16,34750
103,5503,Petroleum Engineers,37577.92453,10031,9848,Architecture and Engineering,Job can be made virtual with institutional investments and planning,137200,Industrial,0.495397153,214,16181,13616,4543,10548,1743,0.097243919,25000,45000,3373,10605,1895,"(124.0, 20124.0]",1,"(33500, 36000]",17,34750
104,4002,"Engineers, All Other",165943.216,2563,16346,Architecture and Engineering,Job can be made virtual with institutional investments and planning,98100,Industrial,0.864456079,118,13217,9601,6648,6625,975,0.068700676,26000,45000,6535,5473,2449,"(124.0, 20124.0]",1,"(33500, 36000]",18,34750
105,6103,Architectural and Civil Drafters,101431.6778,4266,13843,Architecture and Engineering,Job can be conducted virtually,54700,Office,0.764426528,184,15419,13534,3299,10982,1518,0.089626262,27000,42000,2589,8592,1391,"(124.0, 20124.0]",1,"(33500, 36000]",19,34750
106,2001,Electrical and Electronics Drafters,27597.53393,11431,6604,Architecture and Engineering,Job can be conducted virtually,59500,Industrial,0.366176878,208,14779,11981,4690,9085,2006,0.119511469,25000,45000,4545,8794,2495,"(124.0, 20124.0]",1,"(33500, 36000]",20,34750
107,5901,Mechanical Drafters,59637.58265,13257,1893,Architecture and Engineering,Job can be conducted virtually,55500,Industrial,0.124950495,180,12266,11688,2633,9170,962,0.072724524,22000,52000,4575,6147,557,"(124.0, 20124.0]",1,"(33500, 36000]",21,34750
108,1303,"Drafters, All Other",15962.14001,8617,5156,Architecture and Engineering,Job can be conducted virtually,51200,Industrial,0.374355623,152,11797,10722,2613,6954,842,0.066619195,25000,42000,4333,5808,1405,"(124.0, 20124.0]",1,"(33500, 36000]",22,34750
