Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Craft Artists,24040.10438,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,15400,Industrial,,,,,,,,,,,,,,,,,1,22250,1,1,10000
Shampooers,21109.996,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20300,Retail/Services,,,,,,,,,,,,,,,,,2,22250,1,1,20000
Gaming Dealers,101972.7411,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20700,Retail/Services,,,,,,,,,,,,,,,,,2,24750,2,2,20000
Childcare Workers,1202028.239,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20900,Other/Mixed,,,,,,,,,,,,,,,,,2,27250,3,3,20000
"Combined Food Preparation and Serving Workers, Including Fast Food",3699587.317,,,,,Food Preparation and Serving,"Cannot work remotely, essential",21300,Retail/Services,,,,,,,,,,,,,,,,,2,29750,4,4,20000
Waiters and Waitresses,2602040.608,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",21800,Retail/Services,,,,,,,,,,,,,,,,,2,32250,5,5,20000
"Cooks, Fast Food",500565.8248,,,,,Food Preparation and Serving,"Cannot work remotely, essential",22200,Retail/Services,,,,,,,,,,,,,,,,,2,34750,6,6,20000
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",418703.7376,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22200,Retail/Services,,,,,,,,,,,,,,,,,2,37250,7,7,20000
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",483360.3088,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,39750,8,8,20000
Dining Room and Cafeteria Attendants and Bartender Helpers,465502.6735,,,,,Food Preparation and Serving,"Cannot work remotely, essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,42250,9,9,20000
"Ushers, Lobby Attendants, and Ticket Takers",143967.2604,,,,,Personal Care and Service,"Cannot work remotely, non-essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,44750,10,10,20000
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",156617.3929,,,,,Protective Service,"Cannot work remotely, non-essential",22400,Institutional,,,,,,,,,,,,,,,,,2,47250,11,11,20000
Amusement and Recreation Attendants,341071.5474,,,,,Personal Care and Service,"Cannot work remotely, non-essential",22400,Retail/Services,,,,,,,,,,,,,,,,,2,49750,12,12,20000
Cashiers,3642276.386,,,,,Sales and Related,"Cannot work remotely, non-essential",22400,Retail/Services,,,,,,,,,,,,,,,,,2,52250,13,13,20000
Bartenders,638396.8594,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22600,Retail/Services,,,,,,,,,,,,,,,,,2,54750,14,14,20000
Dishwashers,509520.3784,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22700,Retail/Services,,,,,,,,,,,,,,,,,2,57250,15,15,20000
"Food Servers, Nonrestaurant",272135.0621,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",23300,Retail/Services,,,,,,,,,,,,,,,,,2,59750,16,16,20000
"Pressers, Textile, Garment, and Related Materials",38784.0822,,,,,Production,"Cannot work remotely, non-essential",23300,Industrial,,,,,,,,,,,,,,,,,2,62250,17,17,20000
Maids and Housekeeping Cleaners,1482077.949,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",23400,Other/Mixed,,,,,,,,,,,,,,,,,2,64750,18,18,20000
Laundry and Dry-Cleaning Workers,224828.0932,,,,,Production,"Cannot work remotely, essential",23400,Industrial,,,,,,,,,,,,,,,,,2,67250,19,19,20000
"Cooks, Short Order",163678.9946,,,,,Food Preparation and Serving,"Cannot work remotely, essential",23700,Retail/Services,,,,,,,,,,,,,,,,,2,69750,20,20,20000
Food Preparation Workers,836968.2295,,,,,Food Preparation and Serving,"Cannot work remotely, essential",23700,Retail/Services,,,,,,,,,,,,,,,,,2,72250,21,21,20000
Motion Picture Projectionists,5409.071624,,,,,Personal Care and Service,"Cannot work remotely, non-essential",23700,Other/Mixed,,,,,,,,,,,,,,,,,2,74750,22,22,20000
Manicurists and Pedicurists,169987.7775,,,,,Personal Care and Service,"Cannot work remotely, non-essential",23700,Retail/Services,,,,,,,,,,,,,,,,,2,77250,23,23,20000
"Hotel, Motel, and Resort Desk Clerks",260636.1277,,,,,Office and Admin Support,"Cannot work remotely, non-essential",23700,Retail/Services,,,,,,,,,,,,,,,,,2,79750,24,24,20000
"Sewers, Hand",10270.46229,,,,,Production,"Cannot work remotely, non-essential",23700,Industrial,,,,,,,,,,,,,,,,,2,82250,25,25,20000
"Food Preparation and Serving Related Workers, All Other",63015.47584,,,,,Food Preparation and Serving,"Cannot work remotely, essential",23900,Retail/Services,,,,,,,,,,,,,,,,,2,84750,26,26,20000
Personal Care Aides,2465654.963,,,,,Personal Care and Service,"Cannot work remotely, non-essential",23900,Other/Mixed,,,,,,,,,,,,,,,,,2,87250,27,27,20000
Parking Lot Attendants,157900.7284,,,,,Transportation and Material Moving,"Cannot work remotely, non-essential",23900,Industrial,,,,,,,,,,,,,,,,,2,89750,28,28,20000
"Locker Room, Coatroom, and Dressing Room Attendants",19959.45532,,,,,Personal Care and Service,"Cannot work remotely, non-essential",24100,Retail/Services,,,,,,,,,,,,,,,,,2,92250,29,29,20000
Home Health Aides,829389.71,,,,,Healthcare Support,"Cannot work remotely, essential",24200,Other/Mixed,,,,,,,,,,,,,,,,,2,94750,30,30,20000
Baggage Porters and Bellhops,44463.04564,,,,,Personal Care and Service,"Cannot work remotely, non-essential",24200,Retail/Services,,,,,,,,,,,,,,,,,2,97250,31,31,20000
Automotive and Watercraft Service Attendants,117237.3725,,,,,Transportation and Material Moving,"Cannot work remotely, essential",24200,Industrial,,,,,,,,,,,,,,,,,2,99750,32,32,20000
Nonfarm Animal Caretakers,285826.2463,,,,,Personal Care and Service,"Cannot work remotely, non-essential",24300,Other/Mixed,,,,,,,,,,,,,,,,,2,102250,33,33,20000
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",655128.9681,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",24300,Other/Mixed,,,,,,,,,,,,,,,,,2,104750,34,34,20000
"Entertainment Attendants and Related Workers, All Other",6100.487864,,,,,Personal Care and Service,"Cannot work remotely, non-essential",24400,Retail/Services,,,,,,,,,,,,,,,,,2,107250,35,35,20000
Retail Salespersons,4564700.232,,,,,Sales and Related,Job can be made virtual,24400,Retail/Services,,,,,,,,,,,,,,,,,2,109750,36,36,20000
"Graders and Sorters, Agricultural Products",57227.05287,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, non-essential",24400,Other/Mixed,,,,,,,,,,,,,,,,,2,112250,37,37,20000
Sewing Machine Operators,153790.1875,,,,,Production,"Cannot work remotely, non-essential",24400,Industrial,,,,,,,,,,,,,,,,,2,114750,38,38,20000
Cleaners of Vehicles and Equipment,409887.4754,,,,,Transportation and Material Moving,"Cannot work remotely, essential",24500,Industrial,,,,,,,,,,,,,,,,,2,117250,39,39,20000
Legislators,58777.67061,3,2415,725,131,Management,Job can be made virtual,24600,Institutional,0.153037383,3,648,558,133,340,16,0.024096386,50000,105000,456,176,0,"(124.0, 20124.0]",1,"(71000, 73500]",2,119750,40,40,20000
"Packers and Packagers, Hand",683248.7532,,,,,Transportation and Material Moving,"Cannot work remotely, essential",24600,Industrial,,,,,,,,,,,,,,,,,2,122250,41,41,20000
"Fine Artists, Including Painters, Sculptors, and Illustrators",47647.29844,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,24700,Industrial,,,,,,,,,,,,,,,,,2,124750,42,42,20000
Driver/Sales Workers,433803.3858,,,,,Transportation and Material Moving,"Cannot work remotely, essential",24800,Industrial,,,,,,,,,,,,,,,,,2,127250,43,43,20000
Barbers,76558.32146,,,,,Personal Care and Service,"Cannot work remotely, non-essential",24900,Retail/Services,,,,,,,,,,,,,,,,,2,129750,44,44,20000
Gaming Change Persons and Booth Cashiers,25801.53233,,,,,Sales and Related,"Cannot work remotely, non-essential",24900,Retail/Services,,,,,,,,,,,,,,,,,2,132250,45,45,20000
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",68954.07736,,,,,Sales and Related,"Cannot work remotely, non-essential",25100,Retail/Services,,,,,,,,,,,,,,,,,2,134750,46,46,20000
Gaming and Sports Book Writers and Runners,13388.93872,,,,,Personal Care and Service,"Cannot work remotely, non-essential",25300,Retail/Services,,,,,,,,,,,,,,,,,2,137250,47,47,20000
Telemarketers,176547.5469,,,,,Sales and Related,Job can be conducted virtually,25400,Office,,,,,,,,,,,,,,,,,2,139750,48,48,20000
"Tailors, Dressmakers, and Custom Sewers",42622.90281,,,,,Production,"Cannot work remotely, non-essential",25400,Industrial,,,,,,,,,,,,,,,,,2,142250,49,49,20000
Taxi Drivers and Chauffeurs,424028.3369,,,,,Transportation and Material Moving,"Cannot work remotely, essential",25400,Industrial,,,,,,,,,,,,,,,,,2,144750,50,50,20000
Recreation Workers,394589.3058,,,,,Personal Care and Service,"Cannot work remotely, non-essential",25700,Institutional,,,,,,,,,,,,,,,,,2,147250,51,51,20000
Stock Clerks and Order Fillers,2071731.031,,,,,Office and Admin Support,"Cannot work remotely, non-essential",25700,Retail/Services,,,,,,,,,,,,,,,,,2,149750,52,52,20000
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",17486.98283,,,,,Transportation and Material Moving,"Cannot work remotely, essential",25800,Industrial,,,,,,,,,,,,,,,,,2,152250,53,53,20000
"Hairdressers, Hairstylists, and Cosmetologists",710353.7411,,,,,Personal Care and Service,"Cannot work remotely, non-essential",25900,Retail/Services,,,,,,,,,,,,,,,,,2,154750,54,54,20000
"Farmworkers, Farm, Ranch, and Aquacultural Animals",177083.3271,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",25900,Other/Mixed,,,,,,,,,,,,,,,,,2,157250,55,55,20000
"Food Processing Workers, All Other",46382.41633,,,,,Production,"Cannot work remotely, essential",25900,Industrial,,,,,,,,,,,,,,,,,2,159750,56,56,20000
Bakers,192790.6776,,,,,Production,"Cannot work remotely, essential",26000,Industrial,,,,,,,,,,,,,,,,,2,162250,57,57,20000
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2576000.861,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, essential",26200,Other/Mixed,,,,,,,,,,,,,,,,,2,164750,58,58,20000
Physical Therapist Aides,49127.36411,,,,,Healthcare Support,Job can be made virtual,26300,Institutional,,,,,,,,,,,,,,,,,2,167250,59,59,20000
"Cooks, Restaurant",1374159.603,,,,,Food Preparation and Serving,"Cannot work remotely, essential",26400,Retail/Services,,,,,,,,,,,,,,,,,2,169750,60,60,20000
Funeral Attendants,34897.84367,,,,,Personal Care and Service,"Cannot work remotely, essential",26400,Retail/Services,,,,,,,,,,,,,,,,,2,172250,61,61,20000
Pharmacy Aides,37701.45771,,,,,Healthcare Support,"Cannot work remotely, essential",26500,Institutional,,,,,,,,,,,,,,,,,2,174750,62,62,20000
"Library Assistants, Clerical",110436.4926,,,,,Office and Admin Support,Job can be made virtual,26500,Institutional,,,,,,,,,,,,,,,,,2,177250,63,63,20000
"Cooks, Institution and Cafeteria",431632.4573,,,,,Food Preparation and Serving,"Cannot work remotely, essential",26800,Retail/Services,,,,,,,,,,,,,,,,,2,179750,64,64,20000
"Transportation Attendants, Except Flight Attendants",28652.05547,,,,,Transportation and Material Moving,"Cannot work remotely, essential",26800,Industrial,,,,,,,,,,,,,,,,,2,182250,65,65,20000
"Meat, Poultry, and Fish Cutters and Trimmers",160283.9517,,,,,Production,"Cannot work remotely, essential",26900,Industrial,,,,,,,,,,,,,,,,,2,184750,66,66,20000
Teacher Assistants,1393139.773,,,,,"Education, Training, and Library",Job can be made virtual,27000,Institutional,,,,,,,,,,,,,,,,,2,187250,67,67,20000
Dietetic Technicians,38214.47986,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",27100,Institutional,,,,,,,,,,,,,,,,,2,189750,68,68,20000
Animal Trainers,37756.38705,,,,,Personal Care and Service,"Cannot work remotely, non-essential",27100,Other/Mixed,,,,,,,,,,,,,,,,,2,192250,69,69,20000
"Personal Care and Service Workers, All Other",114616.2697,,,,,Personal Care and Service,"Cannot work remotely, non-essential",27100,Other/Mixed,,,,,,,,,,,,,,,,,2,194750,70,70,20000
Shoe and Leather Workers and Repairers,12010.38095,,,,,Production,"Cannot work remotely, non-essential",27200,Industrial,,,,,,,,,,,,,,,,,2,197250,71,71,20000
Counter and Rental Clerks,433927.7685,,,,,Sales and Related,"Cannot work remotely, non-essential",27300,Retail/Services,,,,,,,,,,,,,,,,,2,199750,72,72,20000
"Fabric Menders, Except Garment",653.4414558,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",27400,Industrial,,,,,,,,,,,,,,,,,2,202250,73,73,20000
Gaming Cage Workers,18549.38812,,,,,Office and Admin Support,"Cannot work remotely, non-essential",27500,Retail/Services,,,,,,,,,,,,,,,,,2,204750,74,74,20000
Veterinary Assistants and Laboratory Animal Caretakers,97575.39861,,,,,Healthcare Support,"Cannot work remotely, essential",27600,Institutional,,,,,,,,,,,,,,,,,2,207250,75,75,20000
Forest and Conservation Workers,16689.62915,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",27700,Other/Mixed,,,,,,,,,,,,,,,,,2,209750,76,76,20000
Tire Repairers and Changers,115877.4211,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",27700,Industrial,,,,,,,,,,,,,,,,,2,212250,77,77,20000
Helpers--Production Workers,354502.7016,,,,,Production,"Cannot work remotely, essential",27700,Industrial,,,,,,,,,,,,,,,,,2,214750,78,78,20000
"Textile, Apparel, and Furnishings Workers, All Other",16513.38637,,,,,Production,"Cannot work remotely, non-essential",27800,Industrial,,,,,,,,,,,,,,,,,2,217250,79,79,20000
Landscaping and Groundskeeping Workers,1281755.343,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",27900,Industrial,,,,,,,,,,,,,,,,,2,219750,80,80,20000
Residential Advisors,135191.1232,,,,,Personal Care and Service,Job can be conducted virtually,27900,Office,,,,,,,,,,,,,,,,,2,222250,81,81,20000
Orderlies,53822.05336,,,,,Healthcare Support,"Cannot work remotely, essential",28000,Institutional,,,,,,,,,,,,,,,,,2,224750,82,82,20000
Occupational Therapy Aides,8606.245098,,,,,Healthcare Support,Job can be made virtual,28200,Institutional,,,,,,,,,,,,,,,,,2,227250,83,83,20000
"Textile Cutting Machine Setters, Operators, and Tenders",14374.22652,,,,,Production,"Cannot work remotely, non-essential",28200,Industrial,,,,,,,,,,,,,,,,,2,229750,84,84,20000
"Laborers and Freight, Stock, and Material Movers, Hand",2983639.292,,,,,Transportation and Material Moving,"Cannot work remotely, essential",28200,Industrial,,,,,,,,,,,,,,,,,2,232250,85,85,20000
Slaughterers and Meat Packers,75244.69396,,,,,Production,"Cannot work remotely, essential",28300,Industrial,,,,,,,,,,,,,,,,,2,234750,86,86,20000
"Gaming Service Workers, All Other",11509.98647,,,,,Personal Care and Service,"Cannot work remotely, non-essential",28400,Retail/Services,,,,,,,,,,,,,,,,,2,237250,87,87,20000
Nursing Assistants,1506760.713,,,,,Healthcare Support,"Cannot work remotely, essential",28500,Institutional,,,,,,,,,,,,,,,,,2,239750,88,88,20000
Security Guards,1186092.63,,,,,Protective Service,"Cannot work remotely, essential",28500,Other/Mixed,,,,,,,,,,,,,,,,,2,242250,89,89,20000
Tour and Travel Guides,63605.09443,,,,,Personal Care and Service,"Cannot work remotely, non-essential",28500,Retail/Services,,,,,,,,,,,,,,,,,2,244750,90,90,20000
Merchandise Displayers and Window Trimmers,130915.2915,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",28600,Retail/Services,,,,,,,,,,,,,,,,,2,247250,91,91,20000
"Cooks, All Other",24022.40605,,,,,Food Preparation and Serving,"Cannot work remotely, essential",28600,Retail/Services,,,,,,,,,,,,,,,,,2,249750,92,92,20000
Substitute Teachers,587683.7207,,,,,"Education, Training, and Library",Job can be made virtual,28700,Institutional,,,,,,,,,,,,,,,,,2,252250,93,93,20000
Bicycle Repairers,12841.4734,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",28700,Industrial,,,,,,,,,,,,,,,,,2,254750,94,94,20000
Textile Bleaching and Dyeing Machine Operators and Tenders,10003.65409,,,,,Production,"Cannot work remotely, non-essential",28700,Industrial,,,,,,,,,,,,,,,,,2,257250,95,95,20000
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",32786.64887,,,,,Production,"Cannot work remotely, non-essential",28900,Industrial,,,,,,,,,,,,,,,,,2,259750,96,96,20000
Crossing Guards,82263.69371,,,,,Protective Service,"Cannot work remotely, essential",29000,Other/Mixed,,,,,,,,,,,,,,,,,2,262250,97,97,20000
"Woodworkers, All Other",15399.32868,,,,,Production,"Cannot work remotely, essential",29000,Industrial,,,,,,,,,,,,,,,,,2,264750,98,98,20000
Psychiatric Aides,63118.53062,,,,,Healthcare Support,"Cannot work remotely, essential",29100,Institutional,,,,,,,,,,,,,,,,,2,267250,99,99,20000
Receptionists and Information Clerks,1105462.818,,,,,Office and Admin Support,"Cannot work remotely, non-essential",29100,Office,,,,,,,,,,,,,,,,,2,269750,100,100,20000
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",21462.54091,,,,,Production,"Cannot work remotely, non-essential",29100,Industrial,,,,,,,,,,,,,,,,,2,272250,101,101,20000
"Agricultural Workers, All Other",78865.39827,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",29200,Other/Mixed,,,,,,,,,,,,,,,,,2,274750,102,102,20000
Couriers and Messengers,110986.3412,,,,,Office and Admin Support,"Cannot work remotely, essential",29300,Retail/Services,,,,,,,,,,,,,,,,,2,277250,103,103,20000
"Sawing Machine Setters, Operators, and Tenders, Wood",55362.72737,,,,,Production,"Cannot work remotely, essential",29300,Industrial,,,,,,,,,,,,,,,,,2,279750,104,104,20000
"Cutters and Trimmers, Hand",11276.90478,,,,,Production,"Cannot work remotely, essential",29300,Industrial,,,,,,,,,,,,,,,,,2,282250,105,105,20000
"Switchboard Operators, Including Answering Service",73178.3008,,,,,Office and Admin Support,Job can be conducted virtually,29400,Office,,,,,,,,,,,,,,,,,2,284750,106,106,20000
"Helpers--Installation, Maintenance, and Repair Workers",108156.8586,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",29400,Industrial,,,,,,,,,,,,,,,,,2,287250,107,107,20000
"Umpires, Referees, and Other Sports Officials",28006.55156,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",29500,Other/Mixed,,,,,,,,,,,,,,,,,2,289750,108,108,20000
"Building Cleaning Workers, All Other",17041.56677,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, essential",29500,Other/Mixed,,,,,,,,,,,,,,,,,2,292250,109,109,20000
Tellers,466229.669,,,,,Office and Admin Support,"Cannot work remotely, non-essential",29500,Retail/Services,,,,,,,,,,,,,,,,,2,294750,110,110,20000
"Preschool Teachers, Except Special Education",522334.5799,,,,,"Education, Training, and Library",Job can be made virtual,29600,Institutional,,,,,,,,,,,,,,,,,2,297250,111,111,20000
Floral Designers,53237.55357,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,29600,Office,,,,,,,,,,,,,,,,,2,299750,112,112,20000
Food Batchmakers,164907.3354,,,,,Production,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,2,302250,113,113,20000
"Grinding and Polishing Workers, Hand",31118.70496,,,,,Production,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,2,304750,114,114,20000
Machine Feeders and Offbearers,73171.59697,,,,,Transportation and Material Moving,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,2,307250,115,115,20000
"Material Moving Workers, All Other",34104.44663,,,,,Transportation and Material Moving,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,2,309750,116,116,20000
"Religious Workers, All Other",64047.25593,,,,,Community and Social Service,Job can be made virtual,29700,Institutional,,,,,,,,,,,,,,,,,2,312250,117,117,20000
Skincare Specialists,70443.06472,,,,,Personal Care and Service,"Cannot work remotely, non-essential",29700,Retail/Services,,,,,,,,,,,,,,,,,2,314750,118,118,20000
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",79787.04227,,,,,Production,"Cannot work remotely, essential",29700,Industrial,,,,,,,,,,,,,,,,,2,317250,119,119,20000
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",11538.40649,,,,,Construction and Extraction,"Cannot work remotely, essential",29900,Industrial,,,,,,,,,,,,,,,,,2,319750,120,120,20000
Photographic Process Workers and Processing Machine Operators,18795.26929,,,,,Production,"Cannot work remotely, essential",29900,Industrial,,,,,,,,,,,,,,,,,2,322250,121,121,20000
"Production Workers, All Other",260276.4954,,,,,Production,"Cannot work remotely, essential",30000,Industrial,,,,,,,,,,,,,,,,,3,22250,1,1,30000
Public Address System and Other Announcers,13675.05269,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,30100,Industrial,,,,,,,,,,,,,,,,,3,24750,2,2,30000
Food Cooking Machine Operators and Tenders,35373.98821,,,,,Production,"Cannot work remotely, essential",30100,Industrial,,,,,,,,,,,,,,,,,3,27250,3,3,30000
Packaging and Filling Machine Operators and Tenders,401552.2512,,,,,Production,"Cannot work remotely, essential",30100,Industrial,,,,,,,,,,,,,,,,,3,29750,4,4,30000
"Grounds Maintenance Workers, All Other",17664.34249,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",30200,Industrial,,,,,,,,,,,,,,,,,3,32250,5,5,30000
Demonstrators and Product Promoters,100243.2985,,,,,Sales and Related,"Cannot work remotely, non-essential",30300,Retail/Services,,,,,,,,,,,,,,,,,3,34750,6,6,30000
Shoe Machine Operators and Tenders,3631.712484,,,,,Production,"Cannot work remotely, non-essential",30300,Industrial,,,,,,,,,,,,,,,,,3,37250,7,7,30000
"Painting, Coating, and Decorating Workers",14322.63209,,,,,Production,"Cannot work remotely, essential",30300,Industrial,,,,,,,,,,,,,,,,,3,39750,8,8,30000
Concierges,40725.57236,,,,,Personal Care and Service,Job can be made virtual,30400,Retail/Services,,,,,,,,,,,,,,,,,3,42250,9,9,30000
Parts Salespersons,257129.5429,,,,,Sales and Related,Job can be made virtual,30400,Retail/Services,,,,,,,,,,,,,,,,,3,44750,10,10,30000
"Mail Clerks and Mail Machine Operators, Except Postal Service",95010.41497,,,,,Office and Admin Support,"Cannot work remotely, essential",30400,Institutional,,,,,,,,,,,,,,,,,3,47250,11,11,30000
Helpers--Roofers,9240.923039,,,,,Construction and Extraction,"Cannot work remotely, essential",30400,Industrial,,,,,,,,,,,,,,,,,3,49750,12,12,30000
"Helpers, Construction Trades, All Other",29188.29949,,,,,Construction and Extraction,"Cannot work remotely, essential",30500,Industrial,,,,,,,,,,,,,,,,,3,52250,13,13,30000
"Protective Service Workers, All Other",143672.3978,,,,,Protective Service,"Cannot work remotely, essential",30700,Other/Mixed,,,,,,,,,,,,,,,,,3,54750,14,14,30000
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",20043.39558,,,,,Production,"Cannot work remotely, essential",30700,Industrial,,,,,,,,,,,,,,,,,3,57250,15,15,30000
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",24457.89574,,,,,Production,"Cannot work remotely, essential",30800,Industrial,,,,,,,,,,,,,,,,,3,59750,16,16,30000
"Motor Vehicle Operators, All Other",70021.5705,,,,,Transportation and Material Moving,"Cannot work remotely, essential",30800,Industrial,,,,,,,,,,,,,,,,,3,62250,17,17,30000
Helpers--Carpenters,35182.6269,,,,,Construction and Extraction,"Cannot work remotely, essential",30900,Industrial,,,,,,,,,,,,,,,,,3,64750,18,18,30000
Agricultural Equipment Operators,72240.97165,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",31000,Other/Mixed,,,,,,,,,,,,,,,,,3,67250,19,19,30000
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",57812.47317,,,,,Construction and Extraction,"Cannot work remotely, essential",31000,Industrial,,,,,,,,,,,,,,,,,3,69750,20,20,30000
Furniture Finishers,20785.45503,,,,,Production,"Cannot work remotely, non-essential",31000,Industrial,,,,,,,,,,,,,,,,,3,72250,21,21,30000
Models,8190.801913,,,,,Sales and Related,Job can be made virtual,31100,Other/Mixed,,,,,,,,,,,,,,,,,3,74750,22,22,30000
Etchers and Engravers,10725.5587,,,,,Production,"Cannot work remotely, essential",31100,Industrial,,,,,,,,,,,,,,,,,3,77250,23,23,30000
Helpers--Electricians,79491.82156,,,,,Construction and Extraction,"Cannot work remotely, essential",31400,Industrial,,,,,,,,,,,,,,,,,3,79750,24,24,30000
Manufactured Building and Mobile Home Installers,3593.259419,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",31400,Industrial,,,,,,,,,,,,,,,,,3,82250,25,25,30000
"Assemblers and Fabricators, All Other, Including Team Assemblers",1375226.14,,,,,Production,"Cannot work remotely, essential",31400,Industrial,,,,,,,,,,,,,,,,,3,84750,26,26,30000
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",165243.2803,,,,,Production,"Cannot work remotely, essential",31500,Industrial,,,,,,,,,,,,,,,,,3,87250,27,27,30000
Butchers and Meat Cutters,135095.4127,,,,,Production,"Cannot work remotely, essential",31600,Industrial,,,,,,,,,,,,,,,,,3,89750,28,28,30000
File Clerks,123499.2237,,,,,Office and Admin Support,Job can be made virtual,31800,Office,,,,,,,,,,,,,,,,,3,92250,29,29,30000
Ophthalmic Laboratory Technicians,30346.79297,,,,,Production,"Cannot work remotely, essential",31900,Lab,,,,,,,,,,,,,,,,,3,94750,30,30,30000
Data Entry Keyers,188822.5233,,,,,Office and Admin Support,Job can be made virtual,32100,Office,,,,,,,,,,,,,,,,,3,97250,31,31,30000
Upholsterers,43381.52433,,,,,Production,"Cannot work remotely, non-essential",32100,Industrial,,,,,,,,,,,,,,,,,3,99750,32,32,30000
First-Line Supervisors of Food Preparation and Serving Workers,980593.5136,,,,,Food Preparation and Serving,"Cannot work remotely, essential",32300,Retail/Services,,,,,,,,,,,,,,,,,3,102250,33,33,30000
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",67785.47142,,,,,Office and Admin Support,Job can be conducted virtually,32300,Industrial,,,,,,,,,,,,,,,,,3,104750,34,34,30000
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",41498.00448,,,,,Production,"Cannot work remotely, essential",32400,Industrial,,,,,,,,,,,,,,,,,3,107250,35,35,30000
Cooling and Freezing Equipment Operators and Tenders,10218.8994,,,,,Production,"Cannot work remotely, essential",32400,Industrial,,,,,,,,,,,,,,,,,3,109750,36,36,30000
"Molders, Shapers, and Casters, Except Metal and Plastic",49241.28763,,,,,Production,"Cannot work remotely, essential",32400,Industrial,,,,,,,,,,,,,,,,,3,112250,37,37,30000
"Bus Drivers, School or Special Client",491324.4953,,,,,Transportation and Material Moving,"Cannot work remotely, essential",32400,Industrial,,,,,,,,,,,,,,,,,3,114750,38,38,30000
Pharmacy Technicians,420057.9294,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",32700,Institutional,,,,,,,,,,,,,,,,,3,117250,39,39,30000
Gaming Surveillance Officers and Gaming Investigators,11922.04827,,,,,Protective Service,Job can be made virtual,32700,Institutional,,,,,,,,,,,,,,,,,3,119750,40,40,30000
